#Position (bp)	Coverage	Std
8.505684455E8	4.680180023607624	4.083659027449825
8.547687835E8	4.146438929438536	7.6540910510231575
8.589691215E8	3.390266926137849	9.7251051622102
8.631694595E8	2.4299211158721037	4.459633332798772
8.66160665E8	2.1027735676372403	4.490732434250279
8.68260834E8	3.677804955205488	8.248920403526046
8.715701355E8	4.842576002216965	4.083870912196916
8.757704735E8	4.254787828979477	3.8408896748849495
8.799708115E8	5.0997962544919	3.120306766274344
8.841711495E8	5.160789441230682	20.02171912483559
8.883714875E8	4.387156224094347	7.676870924292663
8.925718255E8	4.458770460853389	11.891806670258024
8.967721635E8	3.738490331016218	17.26596876860181
9.009725015E8	3.9378338124217622	5.559867476608618
9.03798353E8	3.393138183709818	4.761182264855039
9.05898522E8	4.772926107313531	4.4895483578340105
9.093731775E8	5.00552574578522	4.516122846362573
9.135735155E8	5.471482533072338	4.20293084689369
9.177738535E8	5.82655062521159	11.684005699649475
9.219741915E8	5.476732824834573	4.837599365283038
9.261745295E8	5.4048238498901755	6.586347270969909
9.303748675E8	5.1478719093558665	4.4441822121100705
9.345752055E8	4.5272018585171	4.211315129697749
9.387755435E8	3.6133401645296166	3.959307733869369
9.4175844E8	2.491205383314783	4.110685828045665
9.43858609E8	3.2784207701150323	3.7955158615205473
9.471762195E8	4.373486371811031	3.854751478036165
9.513765575E8	4.151446621676636	4.213141241599987
9.555768955E8	4.973030979887809	10.622708127362387
9.597772335E8	5.512279487984062	7.3461820560055875
9.639775715E8	5.33796970624745	3.657040457301298
9.681779095E8	5.124385704198091	3.2317484527970226
9.715636425E8	4.068434943728978	3.264800941512318
9.736638115E8	6.738993745434904	83.46139866353128
9.765785855E8	3.2691669099010605	4.556266283343917
9.807789235E8	4.484370067361246	4.048459294605933
9.849792615E8	4.926258315402237	4.41693671716562
9.891795995E8	5.411288329653471	3.6891776993548198
9.933799375E8	4.945809122980103	6.870408554261435
9.975802755E8	5.321475795519313	4.297158547248621
1.0017806135E9	4.603989964617133	4.737166724726136
1.0059809515E9	5.364764930822234	7.633942209274888
1.0101812895E9	4.9909304917842325	5.8148928502830275
1.0143816275E9	5.045446342651473	4.118348699676905
1.0182451695E9	3.0529933258590214	4.176799103381857
1.0203453385E9	2.297298661504293	3.4265453129390373
1.0227823035E9	3.9489883909342534	4.858986713490001
1.0269826415E9	5.159718336952883	5.756663963599128
1.0311829795E9	4.992905332856546	4.81974565317659
1.0353833175E9	5.07882532310495	3.2617247142803443
1.0395836555E9	4.243477072559399	4.2650778611623235
1.0437839935E9	4.807209324582926	4.850748271720734
1.047557053E9	5.471065798986843	13.57132375020053
1.049657222E9	3.0208072720719623	4.179541312665002
1.0521846695E9	5.362824610781323	15.098081581077091
1.0563850075E9	4.33449117666245	4.269175833770849
1.0605853455E9	3.9491281415924147	4.6889483197985555
1.0647856835E9	5.2055494105474365	4.732691254710077
1.0689860215E9	5.3574429010236795	4.525050436037527
1.0731863595E9	5.382552546961697	3.6700609298379536
1.0773866975E9	4.481786227679772	4.169327353759294
1.081390005E9	3.2532385320353723	5.286799233269691
1.083490174E9	3.112848010840961	12.944513646210881
1.0857873735E9	4.667684838696315	6.870518990541687
1.0899877115E9	4.431065309506044	3.7014598190951946
1.0941880495E9	5.124172864183787	3.9365482889926526
1.0983883875E9	5.480600846884227	5.463599554563009
1.1025887255E9	5.337301664770788	3.8428907299095267
1.1063864205E9	3.88631308150803	4.330829974957585
1.1084865895E9	17.279880688351717	73.8161270341199
1.1109894015E9	5.624803765792182	31.41909663475054
1.1151897395E9	4.836757184778939	4.950973230397095
1.1193900775E9	5.330832423485919	4.212540264680458
1.1235904155E9	5.415079691205803	4.209607672328601
1.1277907535E9	5.414688770284677	4.793551357478671
1.131338125E9	4.315154928214953	4.119413530909516
1.133438294E9	3.9052317385348254	5.30332254421427
1.1361914295E9	4.414265947169014	4.285754634884893
1.1403917675E9	5.531798869519548	10.346347137172778
1.1445921055E9	5.4508894284221885	6.434574162368921
1.1487924435E9	5.20531442945782	3.331197241384394
1.1529927815E9	4.923742803555333	4.135065515022449
1.1571578025E9	3.39435974103713	4.2058942874092775
1.1592579715E9	318.03209502505877	487.40405138273223
1.1613934575E9	5.535274304115526	23.51101687783256
1.1655937955E9	4.5120349838513	6.793114239827124
1.1697941335E9	5.271512435427816	4.068492824064656
1.1739944715E9	5.3185729338924626	3.7219731920383343
1.1781948095E9	5.452149327030349	4.176909089024476
1.1823951475E9	5.232433437499553	3.758599094752167
1.1865954855E9	4.631550603784743	5.1044875947720065
1.189879979E9	3.8834842139970926	4.918285354204011
1.191980148E9	4.759173637009339	10.534825656987373
1.1949961615E9	5.946604773234916	15.577926239946926
1.1991964995E9	4.353603210027384	3.9100253182495233
1.2033968375E9	4.984311262569822	4.771469769063629
1.2075971755E9	4.702404901700768	5.028562233782729
1.2117975135E9	5.254469283186258	3.492560633922781
1.2159978515E9	3.6222784928260534	4.7408763541617835
1.2183100455E9	1.7562716660771136	2.888218549686953
1.2204102145E9	4.171924387123016	8.104751172257094
1.2243985275E9	4.53105321524125	5.17541205415439
1.2285988655E9	5.102692926140706	5.824696224347469
1.2327992035E9	4.671097421207532	4.47341001675865
1.2369995415E9	5.374432009995386	5.060719822713631
1.2411998795E9	5.196061364585422	5.032395792867434
