#Position (bp)	insert size
1.535415429E9	305.83116883116884
1.535435955E9	331.7307692307692
1.535453457E9	315.29896907216494
1.535468772E9	312.4793388429752
1.5354796715E9	0.0
1.535489422E9	335.0
1.53549543E9	0.0
1.5354981925E9	323.0
1.5355033375E9	0.0
1.5355161765E9	323.44
1.53552838E9	319.0
1.5355352575E9	313.5151515151515
1.5355410385E9	0.0
1.5355481035E9	322.14814814814815
1.5355555185E9	183.5
1.5355598625E9	297.1
1.5355786885E9	317.31617647058823
1.5355946885E9	0.0
1.535595903E9	273.0
1.5355999575E9	0.0
1.535605604E9	0.0
1.535610503E9	317.81481481481484
1.535615672E9	0.0
1.535620404E9	291.2
1.53562731E9	316.8079331941545
1.5356330695E9	0.0
1.535636873E9	313.02504472271914
1.5356410015E9	286.5602165087957
1.5356494255E9	302.3758865248227
1.535665026E9	305.8333333333333
1.5356781405E9	314.5625
1.5356838775E9	251.66666666666666
1.5356865875E9	0.0
1.535689394E9	0.0
1.5356912615E9	305.4230769230769
1.5356930255E9	0.0
1.535697826E9	317.45454545454544
1.535705522E9	309.3145769622834
1.5357111865E9	203.0
1.53571391E9	286.75
1.535717463E9	322.44736842105266
1.53572414E9	300.82
1.5357301205E9	0.0
1.5357323985E9	0.0
1.5357749615E9	310.3377483443709
1.535827349E9	310.94444444444446
1.535843071E9	0.0
1.535851035E9	334.1875
1.5358544085E9	0.0
1.535856383E9	185.0
1.5358701115E9	311.62280701754383
1.5358975525E9	314.6940133037694
1.5359210805E9	311.47159090909093
1.535944963E9	304.412017167382
1.5359788225E9	314.1644859813084
1.536010883E9	288.75
1.536037146E9	313.05395683453236
1.5360628435E9	312.1875
1.536086235E9	315.6119402985075
1.5360978355E9	299.6666666666667
1.536110037E9	315.95195439739416
1.5361222185E9	289.0
1.5361349105E9	320.9848484848485
1.536158152E9	310.76
1.5361809485E9	320.77852348993287
1.536208032E9	305.3862660944206
1.536234291E9	327.8333333333333
1.53625533E9	313.2318181818182
1.536276201E9	312.75728155339806
1.5362960445E9	311.8429752066116
1.5363076415E9	155.0
1.536319192E9	309.0458015267176
1.5363386625E9	226.0
1.536357452E9	308.59512195121954
1.5363748885E9	310.62068965517244
1.536395664E9	313.0647632311978
1.5364163305E9	301.4177215189873
1.5364336885E9	276.1111111111111
1.536450876E9	303.1794871794872
1.5364650995E9	285.75
1.536472821E9	304.4864864864865
1.536482735E9	313.5365853658537
1.5364985125E9	304.9037037037037
1.53651397E9	309.46666666666664
1.5365282275E9	304.14070351758795
1.536537333E9	0.0
1.536547208E9	311.55357142857144
1.5365606035E9	345.0
1.5365740095E9	339.4
1.536588458E9	263.93333333333334
1.5366020835E9	315.0450704225352
1.5366148525E9	299.5
1.53662754E9	320.7142857142857
1.536639955E9	292.7763157894737
1.536651996E9	187.0
1.536664285E9	307.875
1.5366759205E9	304.29019908116385
1.536686685E9	312.0969387755102
1.536697413E9	317.7416666666667
1.5367083295E9	313.06976744186045
1.5367183025E9	0.0
1.536725615E9	342.57142857142856
1.536733361E9	289.3333333333333
1.5367425685E9	309.25
1.5367534225E9	315.90070921985813
1.536766189E9	269.0833333333333
1.53678075E9	315.99507600085633
1.536792831E9	294.6363636363636
1.536800019E9	296.0
1.536806431E9	344.4
1.5368122545E9	264.8333333333333
1.536817493E9	263.25
1.5368208405E9	278.09090909090907
1.5368243225E9	319.1011235955056
1.536834837E9	0.0
1.5368521745E9	323.8488372093023
1.5368641265E9	309.9856115107914
1.536872144E9	307.75240223463686
1.5368796495E9	0.0
1.5368841815E9	0.0
1.5368909695E9	0.0
1.5368966705E9	0.0
1.5368998545E9	0.0
1.536903941E9	0.0
1.5371149685E9	311.2025210084034
1.537990657E9	312.6511018463371
1.539086699E9	313.8849250726907
1.539792013E9	313.70289097875303
1.5402028125E9	311.9033343082773
1.540434271E9	315.4827245804541
1.540532099E9	0.0
1.540534646E9	329.3333333333333
1.5405371665E9	0.0
1.5405389265E9	312.2173913043478
1.540540592E9	0.0
1.540542666E9	304.22222222222223
1.540545707E9	345.6666666666667
1.540552682E9	0.0
1.5405598315E9	0.0
1.5405623795E9	0.0
1.540563907E9	0.0
1.540565929E9	0.0
1.540571265E9	306.37862595419847
1.5405783885E9	0.0
1.5405972455E9	297.5886524822695
1.540628751E9	322.013698630137
1.5406486875E9	0.0
1.5406631505E9	247.57142857142858
1.540685584E9	318.44557823129253
1.5407003705E9	291.9166666666667
1.5407074675E9	257.0
1.540726671E9	311.6857142857143
1.540748001E9	318.56271186440677
1.5407581885E9	0.0
1.5407703125E9	254.0
1.54079209E9	329.8333333333333
1.540807378E9	321.7878787878788
1.5408190105E9	284.8333333333333
1.540835665E9	297.77777777777777
1.5408507595E9	219.0
1.5408643815E9	0.0
1.540879723E9	303.8695652173913
1.540904983E9	306.9230769230769
1.5409209005E9	0.0
1.5409239795E9	291.38461538461536
1.5409288185E9	305.9824561403509
1.540933532E9	362.0
1.540944465E9	307.75
1.5409584025E9	304.34177215189874
1.540965426E9	293.0
1.540967252E9	0.0
1.5409745825E9	316.94871794871796
1.5409882715E9	296.1875
1.541007176E9	0.0
1.5410205125E9	332.4
1.54102217E9	292.1666666666667
1.541025045E9	297.09090909090907
1.541028975E9	302.0
1.5410349065E9	299.6666666666667
1.541043259E9	318.0111731843575
1.541047583E9	0.0
1.541049138E9	0.0
1.541053205E9	302.4503205128205
1.5410571275E9	0.0
1.541075438E9	311.2424005014102
1.541094497E9	0.0
1.5410970975E9	0.0
1.5411000085E9	328.19335239456757
1.5411025775E9	166.0
1.541104117E9	375.75
1.5411092655E9	0.0
1.541114636E9	330.1
1.5411166045E9	218.73076923076923
1.541119562E9	307.375
1.541123723E9	309.0
1.5411276135E9	310.0
1.541132099E9	0.0
1.54113524E9	0.0
1.5411370225E9	0.0
1.5411399285E9	0.0
1.541142415E9	332.0
1.541145445E9	0.0
1.541148566E9	293.0
1.541150374E9	304.2333633093525
1.541152502E9	293.68100189035914
1.5411558625E9	0.0
1.541158636E9	299.0
1.5411603095E9	328.3333333333333
1.5411623285E9	0.0
1.541165214E9	0.0
1.5411842935E9	318.0
1.5412174025E9	316.19216417910445
1.5412342905E9	289.0
1.541249642E9	323.6666666666667
1.5412670905E9	305.14285714285717
1.541273698E9	314.9260355029586
1.541290882E9	298.53846153846155
1.5413198415E9	327.788
1.541348197E9	316.74074074074076
1.5413647045E9	314.3862660944206
1.5413807335E9	314.63157894736844
1.5413946725E9	0.0
1.5414077715E9	310.340625
1.5414307055E9	317.4220588235294
