#Position (bp)	mapping quality
1.0101812895E9	29.749489877374256
1.0143816275E9	31.566257985222446
1.0182451695E9	22.509995681098665
1.0203453385E9	25.45015280827944
1.0227823035E9	28.16077304578994
1.0269826415E9	34.02673332227086
1.0311829795E9	34.23784457671107
1.0353833175E9	34.62970298550435
1.0395836555E9	30.619812320438637
1.0437839935E9	30.891029923549315
1.047557053E9	26.574542065349195
1.049657222E9	21.995002671212358
1.0521846695E9	26.0207704441962
1.0563850075E9	30.84601517789938
1.0605853455E9	31.813694600464785
1.0647856835E9	32.18631580912321
1.0689860215E9	33.55809143413937
1.0731863595E9	35.16753374785208
1.0773866975E9	33.00242319966487
1.081390005E9	24.12599949787455
1.083490174E9	20.474077203498425
1.0857873735E9	25.512455276077212
1.0899877115E9	31.514379570584705
1.0941880495E9	32.73547826545913
1.0983883875E9	34.34009944995443
1.1025887255E9	33.48967156234874
1.1063864205E9	29.404676547148167
1.1084865895E9	10.1372122939931
1.1109894015E9	26.98969375130567
1.1151897395E9	31.917056843383797
1.1193900775E9	34.37394400106695
1.1235904155E9	35.99407053174967
1.1277907535E9	34.61259450111598
1.131338125E9	28.393767551369244
1.133438294E9	28.49251328876203
1.1361914295E9	28.911069661715562
1.1403917675E9	28.92896522782637
1.1445921055E9	31.68152421209608
1.1487924435E9	36.23198370189834
1.1529927815E9	35.505225454941694
1.1571578025E9	28.274472427957633
1.1592579715E9	7.239255646104875
1.1613934575E9	27.508412162290497
1.1655937955E9	27.806841935554296
1.1697941335E9	33.82707609250192
1.1739944715E9	35.452085367573524
1.1781948095E9	34.84751235517064
1.1823951475E9	35.438356187503025
1.1865954855E9	32.974844597673744
1.189879979E9	26.131048448231212
1.191980148E9	17.401660197555675
1.1949961615E9	28.79044556856834
1.1991964995E9	31.40760102706497
1.2033968375E9	33.78928338127215
1.2075971755E9	32.37526902295082
1.2117975135E9	34.35392764614449
1.2159978515E9	25.262764354392456
1.2183100455E9	16.751227967328646
1.2204102145E9	21.169053435673675
1.2243985275E9	26.40198383003644
1.2285988655E9	31.034297612170498
1.2327992035E9	31.777266810856503
1.2369995415E9	34.13363913244372
1.2411998795E9	33.04513398061775
1.2454002175E9	29.19301068350495
1.2475472805E9	34.151089255454686
1.2496474495E9	27.50929516517911
1.2538008935E9	31.177146446922404
1.2580012315E9	33.28338187889033
